texto,review_score,sentimento
Não recebi até agora o produto.J Á MANDEI DOIS EMAILS SOLICITANDO INFORMAÇÃO E NÃO ME RESPOSDERAM NADA.,1,negativo
muito boom,4,positivo
Estou ainda aguardando o produto que estava previsto para ser entregue no dia 22/08/2017 e hoje dia 24/08/2017 não chegou ainda até o presente momento.,1,negativo
chegou correto e rapido,5,positivo
produto estragado. liguei na central de vcs e não obtive o retorno,1,negativo
Só acho que a tarifa do correio está muito cara. Estou deixando de comprar devido ao frete. Recebi o que pedi no prazo.,5,positivo
boa,4,positivo
Entrega com data antecipada. Foi ótimo.,5,positivo
Entrega no prazo prometido.,5,positivo
Recebi produto com defeit Recebi o produto com defeito! Como proceder para devolver? Aguardo orientação.,2,negativo
Recomendo,5,positivo
Envia p Ag.Correio não avisa e vence dt d retirada e pago frete? Ñ é área d risco Marica.Perdeu o cliente (1 pedido) .Após 30 dias avisam q não receberei a compra (2 pedido),1,negativo
Produto chegou certinho e no Prado.,5,positivo
"Liguei para a stark na sexta dia 23, aonde foi informado que chegaria na segunda 26. Porém não chegou. Na ligação argumentou que seria devido a greve dos Correios, porém garantiu que chegava",1,negativo
Recomendo a loja Recebi o produto bem embalado e no prazo! Recomendo a loja!!,5,positivo
Produto bom. Dentro das expectativas. Acertei na compra.,4,positivo
Produto de ótima qualidade e excelente entrega..recomendo.,5,positivo
Até agora não recebi o produto,1,negativo
Fiquei muito satisfeita cm a mercadoria super recomendo,5,positivo
"Entrega antes do prazo, mas a empresa precisa melhor na atualização de status de envio do produto.

Produto avaliado de forma positiva!",4,positivo
"Como sempre, muito bom.",5,positivo
muito bom,5,positivo
rapidez,4,positivo
"Produto em ordem. Mas um pouco de demora no processamento e envio de informações (separação no estoque,preparação pra envio, nota fiscal) antes da entraga à transportadora.",4,positivo
Não compre,1,negativo
"Produto veio rapido , porem percebi que há alguns parafusos da peça enferrujados",5,positivo
Indico,4,positivo
Adoro comprar pela baratheon. Pontualidade e qualidade.,5,positivo
"Produto de qualidade, perfeito, gostei.",5,positivo
"O problema esta na incompetência dos correios. Já foi uma das melhores empresas dos Brasil, na opinião dos usuários, hoje esta falida e com uma péssima prestação de serviços.",3,neutro
"Não recomendo, O material chegou usado, somente com o pistão, assento, encosto e os pés. Faltarram os parafusos, o suporte que sustenta o encosto e o manual de instalação, Devido aos fatos, quero trocar a cadeira.",1,negativo
Eu recomendo baratheon para todos pelo valor dos produtos pelo a entrega rápida e pelo segurança obrigado sentido muito feliz 😁,5,positivo
Muito bom  Chegou dias antes do esperado e produto muito bom,4,positivo
O produto é bom O produto é bom só que o valor do frete é muito caro não recomendo.,3,neutro
Não compraria novamente e nem recomendo a ninguém. Comprei o baú considerando a previsão de entrega antes do Natal e até a presente data não recebi o pedido.,1,negativo
"A compra feita foi de 2 estantes, uma azul e outra verde.
Recebi apenas a estante azul. Está faltando a entrega da segunda estante",3,neutro
"Recomendo  Chegou antes do prazo, satisfeito.",4,positivo
Recomendo!!,5,positivo
"Eu super recomendo Respeitam os prazos, produtos bem embalados, otimas dimensões, produto atende muito bem o proposto, eu recomendo pode comprar sem medo.",5,positivo
"Incompatível 2 cartuchos, Black e azul.",3,neutro
.....,4,positivo
recomerndo Prazo cumprido e produto recebido sem problemas.,5,positivo
ok positia,5,positivo
"Produto bom, de qualidade, chegou bem antes do prazo e era exatamente oque eu queria.",5,positivo
"SEMPRE COMPRO E RECOMENDO ESTA LOJA, POIS SEMPRE RECEBI MINHAS COMPRAS ATÉ MESMO ANTES DO PRAZO.",5,positivo
Entrega ótima. Produto ruim.,3,neutro
O produto foi enviado conforme anunciado. Recomendo.,5,positivo
Demorou muito a entrega,2,negativo
aguardando a resolução do incidente pois ainda não recebi o produto...,1,negativo
Muito feliz c a rapidez.,5,positivo
"Ótimo! Adorei o produto, tempo de entrega rápido.",5,positivo
"Deu tudo certo, recebi o produto certo e dentro do prazo!!",5,positivo
"Produto chegou em perfeitas condições, antes do previsto. Recomendo",5,positivo
Não é bom.o material,1,negativo
estou aguardando o produto,1,negativo
Ótimo produto vou volta a compra,5,positivo
Compra sem problemas,4,positivo
Adorei a cortina,5,positivo
"Foi entregue antes do prazo, o que me surpreendeu.",5,positivo
Otimo Recomendo a parceira,5,positivo
"Superou minhas espectativas , muito bom produto .",5,positivo
MUITO BOM!! Produto otimo e de boa qualidade !!,5,positivo
Produto totalmente diferente do da foto não gostei pois falava que era corta luz plástico super fino,1,negativo
ENTREGA EFETUADA BEM ANTES DO PRAZO INFORMADO. PARABÉNS PELO ATENDIMENTO E OBRIGADA!,5,positivo
"Não recebi um dos livros No envelope só tinha um dos livros, embora a nota fiscal listasse os dois livros comprados. Ainda não recebi posicionamento a respeito do meu questionamento.",1,negativo
"Excelente Sou cliente baratheon há algum tempo e sempre recebi meus produtos no prazo e perfeito, sem haver necessidade de troca.",5,positivo
Qualidade excelente,4,positivo
"O produto veio com o bocal desfiados em algumas partes, solicito a troca por outro",1,negativo
"Insatisfaçao Não recebi todos os produtos adquiridos, faltaram o carrinho e o bebê conforto. Recebi apenas a base/assento.

Aguardo esclarecimentos",1,negativo
comprei dois produtos há mais de um mês e não recebi nenhum,1,negativo
Nenhuma Não recebi meu produto ainda!!! Não tem como avaliar,1,negativo
super recomendo,5,positivo
"Muito bom, entregou o produto antes do prazo estipulado. Parabéns!!!",5,positivo
porém o produto deu defeito e esta sendo encaminhado para a autorizada,3,neutro
base de acrilico veio trincada e tem vazamento envolta da torneira,1,negativo
Produto entrega no prazo ainda não utizei a mercadoria mas estou satisfeito,4,positivo
"Na vdd paguei por 3 produtos e recebi somente 2 produtos, quero saber qd chega o terceiro? Não posso ficar no prejuízo,. Pois confio muito nesta empresa, obgdo",4,positivo
Boa tarde. uma loja muito boa e que eu confio,5,positivo
Comprei 4 aparelhos e só chegaram 2. Cadê os outros ?,1,negativo
"Muito bom o preço e ótimo prazo de entrega. Parabens e Recomendo.
Já instalei na Moto.",5,positivo
"Comprei 2 produtos e recebi 1 caixa com a nota fiscal dos 2 produtos, porém com apenas 1 produto, o mais barato. Mandei email para a loja responsável, mas não obtive resposta...",1,negativo
Não recebi o produto até o momento.Estou insatisfeita.,1,negativo
Espero q retornem o meu dinheiro,5,positivo
"Produto falsificado  Comprei esperando um produto original e com selo do inmetro. Recebi 3 bonecos que são claramente falsificados, com embalagens amassadas e sem selo do Inmetro.",1,negativo
Não recebi o produto. Uma vergonha comprar um produto e não o receber.,1,negativo
"A Josiane , funcionária da lannister .com merece todo meu respeito pela prestesa e correção no comportamento ético e profissional.",3,neutro
Tudo perfeito.,4,positivo
Me surpreendeu a qualidade.,5,positivo
Demora porem sao correto.gostei.,5,positivo
"Ate o momento não recebi a minha compra, e esta constando no rastreamento que foi entregue",2,negativo
Espetacular o tempo de entrega! Parabéns,5,positivo
"Recomendo, bom produto e chegou antes do prazo estabelecido.",5,positivo
"Muito bom o produto, se comprou o produto certo, é excelente.",5,positivo
Bom dia!estou insatisfeita com a demora,2,negativo
Recomendo sim Muito bom. adorei,4,positivo
"PIOR COMPRA Além de demorar, não chegou.",1,negativo
Acho que deveria vir com manual de instruções de uso..,4,positivo
Produto superou as expectativas. De ótima qualidade é muito bem acabado.,5,positivo
"Odorei o produto, obg",5,positivo
Ótimo produto e de boa qualidade.,5,positivo
Comprei o produto anunciado e me entregaram outro. Aguardando correção por parte da loja.,2,negativo
Nota 1000...,5,positivo
"Desorganização, produto veio errado.",1,negativo
Bom produto.,5,positivo
"Nota 10. Houve falhas de comunicacao, mas dos correios. Quanto ao sistema lannister, nota 10. Excelente!",5,positivo
Fiquei muito satisfeito com a qualidade e os acabamentos do colar. Só não dei 5 estrelas pois no anuncio falava que a cor do produto era PRATA e chegou para mm GRAFITE.,3,neutro
a encomenda chegou bem antes do previsto,5,positivo
"Produto errado Apesar de falar que o cooler era compativel com o meu purificador na descricao do anuncio, NAO É.

Tive que devolver. Ou seja, esperei a toa.",1,negativo
10,5,positivo
Na foto a almofada parecia de melhor qualidade.,3,neutro
exelente,5,positivo
"Produto entregue antes do prazo, recomendo.",5,positivo
"Lindo <3 

super indico, rapidez na entrega.",5,positivo
A loja me ligou informando que a transportadora está com dificuldades para finalizar a entrega.,2,negativo
"Ótima entrega antes do prazo ,mas a garantia estendida não veio
E os meus dados estão incorretos",1,negativo
irei comprar novamente pois e um site de confiança e a entrega no pra zo estipulado,5,positivo
Recebemos o produto antes do prazo. Muito bom!,5,positivo
"Tudo dentro do prometido produto, prazo e um ótimo atendimento.",5,positivo
Não tinha rastreamento e o produto veio desmontado é não tinha manual!,3,neutro
Muito bom produto,4,positivo
Quero receber,1,negativo
Tirando a entrega o produto é ótimo...,5,positivo
"o produto ainda não chegou, já passou do prazo de entrega",1,negativo
Foi entregue com atraso mas do correio não dá loja,3,neutro
Recomendo a entrega foi muito rápida... e essas lentes são excelentes,5,positivo
produto não entregue por erro da loja,1,negativo
"Melhor creme, excelente.",5,positivo
Chegou no prazo certo.. Recomendo a loja.,5,positivo
Chegou antes do prazo.,4,positivo
Entregou no prazo.,4,positivo
Só Chegou um produto,1,negativo
Chegou meu produto fui verificar o suporte de tv faltou o aste de ajuste da TV,1,negativo
"Produto bom, amei",5,positivo
Ainda não consegui receber o produto em minha casa.,1,negativo
"Produto dentro das expectativas, boa qualidade e bonito. Recomendo!",5,positivo
Ótimo site,4,positivo
A rapidez para resolver a troca me deixou bem feliz. Sem burocracia e com bastante eficiência.,5,positivo
"Depois de muito tempo de espera mandaram o produto para uma agência dos correios que nem sei onde fica. Fui pesquisar e é bem longe! Não achei justo ir até lá, pois paguei o frete pra receber em casa!",1,negativo
Péssima qualidade! A capa mais parece um grande saco de lixo do que uma capa para carros! Horrível e péssima qualidade! Não recomendo!,1,negativo
gosteis muito do produto,3,neutro
chegou tudo certo,5,positivo
"RUIM Não recebemos as notas dos produtos, como isso é possivel, é gravíssimo transporte sem nota fiscal, o cliente fica sem garantias, no site do stark não é possível imprimir, preciso das notas.",1,negativo
Bem satisfatório!,4,positivo
Tudo tranquilo.,4,positivo
"Meu primeiro pedido e veio faltando 1 item, que recebi depois de 1 semana. Compro em outros sites e achei o frete de vcs caro. Posso recomendar loja, mas vou pensar melhor antes de fazer outra compra",3,neutro
Recebi antes do prazo estou muito satisfeito,5,positivo
Esse modelo de travesseiro não é muuuito alto e é bem duro. É bom para quem busca esse tipo.,5,positivo
recomendo,4,positivo
"O produto chegou OK! Mas a embalagem veio toda danificada, ainda bem a Antena é resistente.. Pena que não tem onde eu colocar as fotos.

Abraços!",4,positivo
Recebi antes do prazo e feio conforme no anúncio. Amei.,5,positivo
Produto não condiz  Produto pequeno demais,1,negativo
"Otimo Podem comprar cumpre oque prometem.
Parabens",5,positivo
Muito bom Foi muito bom fazer a compra,5,positivo
"loja desorganizada Comprei o papel de parede e após confirmação de envio, recebi um telefonema dizendo que não tinha mais o produto e que fariam um estorno do valor. Após 10 dias recebi o produto correto pelos correios.",3,neutro
Cadeira confortável com ótimo custo benefício.,5,positivo
"Produto Recusado O produto chegou a ser entregue, porém foi recusado, poisja havia cancelado por ter comprado o tamanho errado!",5,positivo
Ainda não recabi,1,negativo
"Talvez devido a greve dos caminhoneiros, ate agora nao recebi o produto.",3,neutro
"Poderiam ter a opção de frete por sedex ou transportadora, para agilizar a entrega.",3,neutro
Recomendo  Nota 10,5,positivo
Ótimo Bons produtos e a entrega fantástica,5,positivo
Muito bom  Só tenho a agradecer,5,positivo
Tudo ocorreu perfeitamente.,5,positivo
Muito bom ...embalagem corretíssima...produto de qualidade,5,positivo
produto chegou antes do prazo previto... tudo ok,5,positivo
"Preciso da cadeira com urgência, pessoa com deficiência .",1,negativo
Recebi o produto no prazo Entregue no prazo.,4,positivo
"Ainda estou esperando Preciso da cadeira, comprei e já faz mais de um mês nada da entrega!!!",1,negativo
Não recomendo Produto de baixa qualidade.,2,negativo
super recomendo,5,positivo
"Produto maravilhoso, compra fácil, entrega antes do prazo. Perfeito! Super indico.",5,positivo
Oieee Boa tarde recebi um produto que não pedi acho que veio por engano por favor veja como devo proceder com a troca o quanto anteriormente produto que deveria vim seria uma taça de sobremesa chamada,2,negativo
"Embora vindo em pacotes separados, levando a crer que no primeiro momento houve extravio de parte da entrega, está se deu de maneira extremamente rápida.",5,positivo
"Ainda não usei, mas produto de qualidade, não é frágil como os que compramos no paralelo. Recomendo.",5,positivo
Bonito,2,negativo
otimo!,5,positivo
Não recebi o produto e ninguém me da uma posição do q vai ser feito muito triste,1,negativo
Quero o meu produto,1,negativo
O produto chegou quebrado.,1,negativo
"Excelente Produto!! Produto de ótima qualidade, superou a minha expectativa.",5,positivo
Produto chegou com um pequeno defeito.,2,negativo
Comprei bem adiantado pois era o presente de aniversário do meu sobrinho e não chegou a loja entreou em contato apenas 1 vez e não me respondeu mais.,1,negativo
Produto dentro do esperado,5,positivo
Muito bom! Entregou antes do prazo e o produto correspondeu as minhas espectativas!,5,positivo
Muito satisfeito,5,positivo
Excelente produto e entrega antecipada.,5,positivo
Recomendado,4,positivo
recomendo muito bom,5,positivo
Material de boa aparência.,5,positivo
Entrega antes do previsto. Excelente serviço.,5,positivo
Nao recebi o produto Espero ainda receber o produto🙏🏻,1,negativo
"Chegou antes do prazo, e veio tudo certinho..",5,positivo
"O produto não é tão macio, é bem fino mais muito bonito",3,neutro
"Só acuso o recebimento de uma cadeira, sendo que eu comprei duas",1,negativo
Gostei doproduto comprado obrigado.,5,positivo
Tudo certinho entrega rápida mas frente muito caro!,4,positivo
"Produto de boa qualidade E muito bom poder confiar em uma loja virtual produto de boa qualidade e muito rápido a entrega ,ótimo trabalho!",5,positivo
"Não recomendo. Achei muito fino o tecido a costura e muito simples, sei lá parece feito em casa, a almofada que veio estava com uma linha grande no acabamento, tive que cortar. Não gostei.",1,negativo
Bom Recebi o jogo bege o vermelho ainda nao,2,negativo
"Demorou um pouco pra chegar, mas veio dentro do prazo",4,positivo
"gostei bastante, fiquei satisfeito",4,positivo
"Comprei uma cinta e enviaram uma touca, solicito a devolução",1,negativo
Tudo conforme o esperado,5,positivo
"Entrega no prazo e produto muito bom. Ligaram antes pra informar que existia o produto em outra cor que poderia ser enviada antes, mas preferi esperar e ter na cor desejada. Muito pontuais.",5,positivo
RECOMENDO COMPRO NAS LOJAS AMERICANOS PELA CONFIANÇA NO ESTABELECIMENTO.,4,positivo
N sei o q houve mas n rwcebi o peoduto ainda,1,negativo
Foi entregue antes do prazo. Só não gostei da qualidade da capinha do celular.,4,positivo
Otima Chegou td bem otimo sitr,5,positivo
um espetaculo,5,positivo
SUPER RECOMENDO,5,positivo
10 Produto maravilhoso,5,positivo
"Produto dentro do esperado
Boa embalagem
Excelente atendimento",4,positivo
SÓ NÃO GOSTEI PORQUE O PRODUTO NÃO VEIO EM NENHUMA CAIXA APENAS COM UM SAQUINHO. E COMO COMPREI PARA REVENDER SEM UMA EMBALAGEM ESPECIFICA FICA UM POUCO DESVALORIZADO.,3,neutro
"Satisfeita com o produto  Gostei muito do produto, só não gostei mais porque tive que retirar no Correios.",4,positivo
Estão de parabéns....,5,positivo
"Fiz uma compra de dois produtos, um relógio no valor de 175,00 e outro no valor de 270,00 no entanto recebi um produto com valor menor q o q foi pago e o outro no valor de 270,00 não recebi",1,negativo
O material veio dentro do prazo e é de ótima qualidade.,5,positivo
"Demorou muito para o produto ser postado para entrega, e depois demorou ainda mais pra chegar.",3,neutro
Recebi apenas 1 Comprei 2 e recebi apenas 1 unidade do produto. Não veio nenhum comunicado ou justificativa. Aguardo regularização da situação.,1,negativo
"Super recomendo, produtos chegaram rápido em em ótimo estado!",5,positivo
"Jeane Jesus da Silva  Eu gostei muito do produto e estou satisfeita,muito obrigado.",3,neutro
Produto bem inferior  Muito inferior este produto Não gostei,1,negativo
"Entrega no prazo, produto de qualidade exatamente como anunciado. Recomendo a loja.",5,positivo
Otimo produto so demorou chegar por causa da greve dos caminhoneiros mas os produtos sao otimos,5,positivo
"Site super seguro pra compra e com entrega garantida, além de produtos com excelente qualidade",4,positivo
"Comprei 02 recebi 01 lona Comprei 02 produtos (lonas para esteiras LX 150 da MOVEMENT) faturados no meu cartão de crédito e apenas 01 chegou na minha residência.
Tenho a nota fiscal. Se quiser envio.",1,negativo
Muito bom.. Chegou dentro do prazo,5,positivo
Gostei muito bom,5,positivo
foi muito bom,5,positivo
"A estampa do produto ñ é a mesma que solicitei, mas ñ vou querer trocar.",4,positivo
"Não recebi o produto ainda, sabem que o correios é uma porcaria e insistem em fazer esse tipo de envio????",1,negativo
BOA,5,positivo
Fiz várias compras nos últimos meses e os produtos foram entregues corretos e bem antes do prazo. Excelente.,5,positivo
E otimo,5,positivo
"O pedido chegou antes da data prevista, satisfeitíssima",4,positivo
Encomendei um modelo de capa e me entregaram outro. Totalmente insatisfeita. Isso é a primeira vez que acontece com uma compra minha.,1,negativo
"RECEBI SOMENTE O KIT COLCHA, MAS A CORTINA NAO RECEBI.",1,negativo
"Mercadoria entregue no prazo. Há uma pequena diferença na cor.Lojista esclareceu dúvidas pelo whatszap. Ponto negativo: mais de um item do mesmo pedido entregue separadamente, onerando custos de frete",4,positivo
Comprei o produto mas não me foi entregue nada até o momento,1,negativo
"produto entregue mto rapido,amei ,atendeu mionha expectativas!",5,positivo
Entrega SUPER rápida. Amei !,5,positivo
Otimo,5,positivo
"Mto bom, parabéns",4,positivo
"O produto veio avariado.
Não foi devolvido na hora pq o entregador não pôde esperar a conferência do mesmo. Abri a caixa e retirar o plástico bolha, o equipamento está quebrado sem condições de uso.",1,negativo
"voltagem errada No anúncio não informa a voltagem do produto,",1,negativo
excelente,5,positivo
"Prá variar, a lannister entrega no prazo, com valor na média de mercado e com a simplicidade e praticidade que esperamos.",5,positivo
Parabéns! À entrega foi feita com sucesso . Estou muito satisfeita!,5,positivo
"Fiz o pedido de dois halteres e me foi entregue somente um.A nota veio marcado dois ,mas só foi entregue um.",1,negativo
Excelente,5,positivo
Rápido,5,positivo
Lojas ótimas e de confiança. Recomendo sim. Compro a anos e é de confiança. Obrigada pelo atendimentos e a atenção.,5,positivo
"Todas as vezes que comprei no baratheon fui surpreendida pela rapidez na entrega, sempre chega antes do prazo. Isso sem falar na qualidade dos produtos... Me sinto super feliz em ser cliente de vcs.",5,positivo
"Me entregaram faltando um pote, insatisfação",1,negativo
"atendeu rapidinho , chegou antes do prazo estipulado. recomendo muito",5,positivo
"Estava previsto pra en receber em 30 dias contudo, recebi em 15 dias. Parabéns!!",5,positivo
Recomendo Produto entregue dentro do prazo.,5,positivo
"Ainda não usei o produto, chegou lacrado, só espero que seja original.",3,neutro
muito boa,4,positivo
Só achei o material fraco,4,positivo
"Foi entregue dentro do prazo, mas achei o prazo muito longo. Já fiz outras compras bem mais ágeis nesta loja. Quanto o produto tudo ok.",5,positivo
Produto muito bom Produto de ótima qualidade e entregue muito antes do prazo.,5,positivo
ÓTIMO Recomendo produto entrega rapida,5,positivo
"Entrega rápida de produto que atende a finalidade.
Estamos mobiliando o apartamento e usaremos a arara em um dos quartos. Além de organizar bem sapatos, camisas e palitó, libera espaço no guarda roup",4,positivo
Ainda NAO recebi o produt O Produto não chegou.,1,negativo
Ótima,5,positivo
"RECEBI APENAS A METADE DOS PRODUTOS, ESTOUNO AGUARDO DO RETORNO ATÉ AGORA! JÁ TENTEI CONTATO ATÉ O MOMENTO SEM SUCESSO, NINGUÉM ATENDE NOS TELEFONES REFERIDOS!! FALTA DE RESPEITO!! ABUSO",1,negativo
Muito bom eu recomendo produto excelente,5,positivo
OTIMO!!!,5,positivo
sempre compro pelo baratheon e satisfaçao na certa,5,positivo
Boa,5,positivo
"Lindo modelo, entregue adiantado...muito bom!",5,positivo
mercadoria boa,5,positivo
"Por favor, mudem as especificações do produto. No anuncio existe um comentário de que a mochila aberta fica com 64cm. Não fica! Isso é propaganda enganosa. Comprei pensando nessa medida e me dei mal.",1,negativo
"Faltando produto Veio faltando produto
Comprei 2 cortinas e só veio 1
Quando resolver o problema mudo minha avaliação.",1,negativo
Mesmo que o prazo tenha sido indicado na hora da compra acho muuuuuuuito demorado quase um mês pra entregar apenas dois cartuchos de impressora.,2,negativo
"O prazo de entrega era de 20 dias, já passaram 22 dias e nem sinal da entrega. Absurdo, principalmente pois o frete foi caro.",1,negativo
"O produto corresponde ao anúncio, qualidade muito boa preço até inferior à ela. O prazo de entrega previsto foi bastante antecipado, pedido chegou na hora que mais precisava do produto.
Sou agradecid",5,positivo
"Péssimo  Revoltada 
Falta de compromisso, comprei dia 12/07 e só hoje fui avisada que não tem o produto. Mais o cartão vou ter que pagar pra depois esperar o reembolso",1,negativo
Tudo certo Perfeito,5,positivo
Produto exelente,5,positivo
"Chegou antes do prazo, amei...",5,positivo
"Infelizmente não tenho como avaliar pois não sei se o atraso na entrega foi culpa do vendedor ou dos correios, acho que as lojas tem que procurar outra alternativa além dos correios.",3,neutro
Péssima qualidade das tesouras.,1,negativo
"O produto é bom. É maior q eu imaginava, mas os documentos não cabem. Quem tem CNH tem q tirar o plástico pra guardar na carteira, pois não cabe com o plástico. Identidade não cabe. No geral é boa",3,neutro
"O produto veio direitinho, porém embalado em jornal, sem manual e sem embalagem.",3,neutro
Tudo como combinado,3,neutro
Amei! Chegou antes do prazo.,5,positivo
"Compra muito segura e foi entregue antes do prazo de entrega!
Parabéns a todos!",5,positivo
Bom. Muito bom.,4,positivo
Obrigada pela atenção vcs foram corretos estou muito satisfeita,5,positivo
Super recomendo! Produto entregue dois dias após a compra. Empresa parceira extremamente eficiente!,5,positivo
Poderiam não cobrar o frete!Se vcs não entregam!,1,negativo
10 Otimo,5,positivo
Otima  Muito boa essa loja recomendo para os meus amigos entrega rápida e eficiente muito Boa mesmo,5,positivo
"Recebi apenas uma luminária, quando comprei três. E não recebi a churrasqueira. No momento, não recomendaria a loja. Espero que haja uma solução, então avaliarei novamente.",1,negativo
Recomendo Produto chegou correto e no prazo.,5,positivo
Recomendo...,5,positivo
Entrega no prazo,4,positivo
Muito bom,4,positivo
"Comprei duas unidades de um determinado produto, sendo que, chegou apenas uma",1,negativo
Muito.rop,5,positivo
Super recomendo chegou no prazo tudo correto amei,5,positivo
Chegou como o prometido.,5,positivo
compra produto entregue na data e como esperado,5,positivo
Péssimo Fui enganado. ficou faltando um produto e me entregaram como se tivesse o pedido completo. Compro na lannister..com há muitos anos e nunca tive este tipo de problema antes,1,negativo
"mas fiquei super chateada, pq fiz um pedido com vcs e depois de 15 dias foi que chegou um email. avisando q não tinham o produto. por esse motivo não indico, fiquei super chateada!",3,neutro
"ENTREGA MUITO RAPIDO Produto conforme anunciado, a entrega foi feita em menos de 48 horas.",5,positivo
Savou a todos,5,positivo
Chegou no tempo certo,5,positivo
Falta quantia Eu comprei duas bonecas lol é só veio uma,1,negativo
Chegou muito antes do prazo...e de excelente qualidade...,5,positivo
"Entrega rápida, o produto perfeito.",5,positivo
a encomenda era para o Natal e não chegou a tempo.Espero que chegue para o ano Novo.Sempre comprei e nunca ocorreu de não receber.Aguardando resposta urgente.,1,negativo
"Não fiquei satisfeita; propaganda enganosa pois, disseram que era luminoso e na verdade NÃO É.E agora? Eu preciso que seja luminoso à noite lógico para aplicação de remédios tipo insulina,Vainia Lúcia",1,negativo
Recebi o produto bem antes do prazo final.,5,positivo
"Gostei do tapete. É muito bonito, porém achei o pelo baixo.",4,positivo
"Recebido, tudo certinho!",5,positivo
Chegou antes do esperado e o produto é lindo,4,positivo
ótima As Lojas lannister são de confiança.,5,positivo
"Exelente Adorei. Entrega super rápida. 
Super indico.",5,positivo
Já paguei e ainda n recebi,1,negativo
"Entrega ok.
Produto de boa qualidade !",5,positivo
"Chegou até antes do dia , gostei do produto e recomendo,espero que dure na mão da minha filha kkk",3,neutro
5 Rápida entrega,5,positivo
Ótimo,5,positivo
Gostei Os produtos são de boa qualidade e o preço que adquiri foi excelente.,5,positivo
"Após 45 dias da compra, o produto não foi entregue e não consigo informações sobre o motivo do atraso nem previsão de data para uma nova entrega. Já fiz 5 contatos sem sucesso para obter maiores detal",1,negativo
A entrega foi super rápida. Produto lindo e de excelente qualidade! Recomento!,5,positivo
obrigado pela entrega antes da data prevista,5,positivo
Entrega rápida antes do prazo,5,positivo
"Bebedouro vida mansa Agradeço, mas acho que demorou um pouco pra chegar ,pois levou mais de 15 días .mas mesmo assim agradeço.",3,neutro
Adorei  Gostei muito do produto e chegou rapidinho 💖,3,neutro
"Ótimo produto e chegou bem antes do prazo, fiquei muito satisfeita.",5,positivo
Adorei minhas aquisições...lindos...amei!!,5,positivo
"'produto bom, só chegou com atraso.",3,neutro
"Ainda não recebi  Ainda está no prazo previsto, mas achei mto longo",2,negativo
Recomendo,4,positivo
Qualidade abaixo do esperado!,2,negativo
Super recomendado Recebi até antes do prazo. Perfeitas condições de funcionamento. Estou Satisfeito.,5,positivo
Com certeza indico Já estou fazendo propaganda para as minhas amigas com certeza comprarei mais,3,neutro
"Recomendo Recomendo o produto, entrega no prazo. Sem problemas com instalação do driver.",5,positivo
"O Primeiro produto veio com defeito. Depois que reclamei enviaram outro rapidamente, em perfeito estado e ainda levei um brinde. Pode confiar, eles respeitam o consumidor!",5,positivo
...,5,positivo
o produto nao e o que esperava fragil e super caro.,2,negativo
"Não posso opinar ,pois não recebi.",1,negativo
"Eu não sei o que está acontecendo, eu preciso do produto urgente e até agora não chegou. Tem mais de um mês",1,negativo
"falta a capa do celular, o skate chegou",1,negativo
Recomendo a todos que necessitam deste produto pois é de ótimo qualidade e impressão.,5,positivo
Até agora o produto atende ao que se propõe,5,positivo
"SUPER RECOMENDO PRODUTO ENTREGUE CERTINHO, ANTES DO PRAZO,... ADOREI !!!",5,positivo
tapete muito fino tapete muito fino...bonito mas podia ser mais grossa a parte de baixo.,4,positivo
"Comprei DOIS porta talheres e recebi apenas UM até o momento, juntamente com uma NF onde constam dois produtos.",1,negativo
"Muito bom . Achei muito parecidos alguns produtos, mas ainda assim super indico. São de otima qualidades",4,positivo
O único problema foi uma das embalagens que estava violada,3,neutro
Super recomendo. Excelente atendimento.,5,positivo
acredito que poderia servir como uma tampa que levanta na frente e fica fixa no fundo.,3,neutro
"aprovação do crédito rápida, entrega bem antes da data limite, produto muito bom, nota 10.",5,positivo
Produto chegou com as especificações e em ótimo estado. Ótima loja,5,positivo
Paciência Paciência,5,positivo
Sempre comprei nesta loja. Sempre recebi a mercadoria correta.,5,positivo
"Excelente Muito rápida a entrega, tudo perfeito.",5,positivo
"Parabens, recebi o produto em perfeito estado e no prazo.",5,positivo
"Veio antes do prazo, produto de boa qualidade gostei bastante recomendo",5,positivo
Cadeira Excelente qualidade do serviço e produto,5,positivo
"Atraso na entrega,e não se consegue um CTT com a empresa",1,negativo
Comprei o produto antes da black friday e até o momento não foi entregue (quase 1 mês de espera).,2,negativo
"sempre recebo produtos adquiridos nessa empresa por transportadora,e é sempre muito rápido, porém, quando enviam pelos correios , é mais demorado e corre o risco de termos que retirar.",4,positivo
Produto de boa qualidade.,5,positivo
Até Hoje não encontrei um site tão responsável que cumpre as normas antes mesmo do esperado .,5,positivo
Estou no aguardo  Estou no agurdo do meu produto,2,negativo
Recomendo,5,positivo
O pedido não foi entregue e consta no site como entregue.,1,negativo
Site confiável,4,positivo
Super recomendo Chegou dentro do prazo. Adorei as peças!,5,positivo
Entrega atrasada.,1,negativo
A entrega foi dentro do previsto estou satisfeito.,4,positivo
Positiva Muito bom.,4,positivo
"Produto de ótima qualidade e lindo.
Recebi antes do previsto.",5,positivo
"CONFIO NO SITE lannister ,POREM O METODO DE ENTREGA DEIXA A DESEJAR,POR DEPENDER DE TERCEIROS O PRAZO ESTIMADO PARA ENTREGA NO ATO DA COMPRA NAO E CONFIAVEL.",3,neutro
Boa,5,positivo
O produto ainda ano foi entregue.,1,negativo
